visit_id,site_nr,sitename,element_type,visited,result,element_text,element_css,iframe_css,location_x,location_y,text_color,background_color,width,height,font_size
162160436731,22333,sega.com,0,1,Normal visit,"Your choice regarding cookies on this site. Cookies served by us and our third-party partners help us to deliver and improve our services, and provide personalised ads to support our marketing campaigns. You can manage your cookie preferences using the Civic cookies tool, or read more about our use of cookies at Cookie Policy. I AcceptI Do Not Accept Strictly Necessary Cookies These Cookies are required for the operation of our Websites. They enable basic site functionality such as page navigation and access to secure areas, such as when you sign in to your online account. The Websites cannot function properly without these Cookies. Strictly Necessary Cookies are enabled when you visit our Websites. If you block these Cookies, it may impact your experience when using our Websites. Retention period – max 12 months. Functional and Analytics Cookies Functional and Analytics Cookies help us to improve our Websites by collecting and reporting information on your use of our Websites. This includes analytics and",,,0,0,"rgba(255, 255, 255, 1)","rgba(49, 49, 71, 1)",520,933,933
162160436731,22333,sega.com,1,1,Normal visit,I Accept,button.ccc-notify-button.ccc-link.ccc-tabbable.ccc-accept-button,,24,209,"rgba(255, 255, 255, 1)","rgba(0, 0, 0, 0)",92.9219,44,44
837066951210,22333,sega.com,2,1,Normal visit,I Do Not Accept,button.ccc-notify-button.ccc-link.ccc-tabbable.ccc-reject-button,,125,209,"rgba(255, 255, 255, 1)","rgba(0, 0, 0, 0)",147.172,44,44
941856560556,22333,sega.com,3,1,Normal visit,(Opens in a new window),span.ccc-svg-element,,133,1887,"rgba(255, 255, 255, 1)","rgba(0, 0, 0, 0)",16,16,16
260349060535,22571,takeda.com,0,1,Normal visit,"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. Cookie Policy Cookies Settings Reject All Accept All Cookies",,,0,864,"rgba(51, 51, 51, 1)","rgba(0, 0, 0, 0)",1887,69.0312,69.0312
260349060535,22571,takeda.com,1,1,Normal visit,Accept All Cookies,button,,1512,877,"rgba(255, 255, 255, 1)","rgba(189, 18, 10, 1)",154.312,39.6094,39.6094
86229789113,22571,takeda.com,2,1,Normal visit,Reject All,button,,1369,877,"rgba(255, 255, 255, 1)","rgba(189, 18, 10, 1)",125,39.6094,39.6094
983353437820,22571,takeda.com,3,1,Normal visit,Cookies Settings,button.cookie-setting-link,,1226,877,"rgba(255, 255, 255, 1)","rgba(0, 0, 0, 1)",125,39.6094,39.6094
214808444595,24880,nekkimobile.ru,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119382962429,30520,ottvs.com.br,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
517213188212,35697,citynet.net,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185314858475,37135,orlandoweekly.com,0,1,Normal visit,"We value your privacy We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised advertising and content, advertising and content measurement, audience research and services development. With your permission we and our partners may use precise geolocation data and identification through device scanning. You may click to consent to our and our 1471 partners’ processing as described above. Alternatively you may click to refuse to consent or access more detailed information and change your preferences before consenting. Please note that some processing of your personal data may not require your consent, but you have a right to object to such processing. Your preferences will apply to this website only. You can change your preferences or withdraw your consent at any time by returning to this site and clicking the ""Privacy"" button at the bottom of the webpage. Please note that ",,,567,243,"rgba(20, 30, 35, 1)","rgba(255, 255, 255, 1)",770,447,447
185314858475,37135,orlandoweekly.com,1,1,Normal visit,AGREE,button.css-47sehv,,1079,632,"rgba(255, 255, 255, 1)","rgba(32, 109, 197, 1)",212.734,40,40
188316131563,37135,orlandoweekly.com,2,1,Normal visit,DISAGREE,button.css-1hy2vtq,,842,632,"rgba(32, 109, 197, 1)","rgba(255, 255, 255, 1)",214.141,40,40
851827047187,37135,orlandoweekly.com,3,1,Normal visit,MORE OPTIONS,button.css-1hy2vtq,,605,632,"rgba(32, 109, 197, 1)","rgba(255, 255, 255, 1)",214.141,40,40
110558252326,42744,autostrade.it,0,1,Normal visit,"Questo sito web utilizza i cookie, anche di terze parti, per finalità diverse. Per saperne di più su come utilizziamo i cookie o per modificare le tue preferenze, clicca su ""Impostazioni cookie"". Facendo click su ""Accetta tutti i cookie"", accetti la memorizzazione di tutte le tipologie di cookie sul tuo dispositivo. Puoi scegliere di mantenere le impostazioni di default, e dunque di non prestare il tuo consenso, chiudendo il presente banner selezionando la X posta in alto a destra oppure facendo click su “Rifiuta tutti” e potrai continuare la navigazione sul sito in assenza dei cookie diversi da quelli tecnici. Per maggiori informazioni puoi consultare la nostra politica sui cookie cliccando sul seguente link Cookie policy Impostazioni cookie Rifiuta tutti Accetta tutti i cookie",,,0,805,"rgba(0, 0, 0, 1)","rgba(0, 0, 0, 0)",1887,127.578,127.578
110558252326,42744,autostrade.it,1,1,Normal visit,Accetta tutti i cookie,button,,1525,847,"rgba(255, 255, 255, 1)","rgba(0, 48, 135, 1)",153.734,41.6094,41.6094
289042022082,42744,autostrade.it,3,1,Normal visit,Impostazioni cookie,button,,1214,847,"rgba(0, 48, 135, 1)","rgba(255, 255, 255, 1)",150.266,41.6094,41.6094
868474489922,42982,trivago.co.uk,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
322836513238,46153,localinfo.jp,0,1,# Skipped because can't be reached,,,,,,,,,,
538854764550,46438,sugarspunrun.com,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115257836102,48535,9hentai.to,0,1,# Skipped because can't be reached,,,,,,,,,,
674182699017,49765,moqups.com,0,1,Normal visit,"Our website uses cookies to personalize your experience, enhance performance, and inform our marketing. We use our own cookies and some from third parties. Only essential cookies are turned on by default. Allow all cookies Do not allow cookies",,,512,777,"rgba(59, 71, 84, 1)","rgba(255, 255, 255, 1)",864,142.406,142.406
674182699017,49765,moqups.com,1,1,Normal visit,Allow all cookies,button.btn.btn-promo.btn-sm.consent-accept.mr-1,,535,861,"rgba(255, 255, 255, 0.92)","rgba(34, 39, 47, 1)",146.281,39.8125,39.8125
174414735914,49765,moqups.com,2,1,Normal visit,Do not allow cookies,button.btn.btn-text.btn-sm.consent-deny,,695,861,"rgba(59, 71, 84, 1)","rgba(0, 0, 0, 0)",175.781,39.8125,39.8125
171706119427,50057,scribblestring.com,0,1,No cookie dialog found during visit,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
784981421022,50936,rapidfiretools.com,0,1,Normal visit,"Your Cookie Options By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. Accept All Cookies Edit Cookies Settings",,,626,93,"rgba(0, 0, 0, 1)","rgba(0, 0, 0, 0)",650,217.234,217.234
784981421022,50936,rapidfiretools.com,1,1,Normal visit,Accept All Cookies,button,,950,238,"rgba(255, 255, 255, 1)","rgba(56, 96, 190, 1)",135,41.9219,41.9219
685011205246,50936,rapidfiretools.com,3,1,Normal visit,Edit Cookies Settings,button.cookie-setting-link,,804,238,"rgba(56, 96, 190, 1)","rgba(255, 255, 255, 1)",135,39.9219,39.9219
